FTR_NM,RPT_DT
ADDR_TOWN,2023-07-31
AGE,2023-01-16
APPLIANCES_CT_TXN_12M,2023-01-16
APPLIANCES_CT_TXN_1M,2023-01-16
APPLIANCES_SM_AMT_12M,2023-01-16
APPLIANCES_SM_AMT_1M,2023-01-16
AREA,2023-01-16
AREA_GEO_2M,2023-01-16
BEAUTY_CT_TXN_12M,2023-01-16
BEAUTY_CT_TXN_1M,2023-01-16
BEAUTY_SM_AMT_12M,2023-01-16
BEAUTY_SM_AMT_1M,2023-01-16
BRANCH,2023-01-16
CARD_AVG_BAL_3M,2023-01-16
CARD_AVG_BAL_6M,2023-01-16
CARD_BRANCH_LOC_3M,2023-01-16
CARD_BRANCH_LOC_6M,2023-01-16
CARD_CREDIT_AMOUNT_CASH_LESS_30_6M,2023-01-16
CARD_CREDIT_AMOUNT_SALE_MCC_VANG_50_6M,2023-01-16
CARD_CREDIT_CASH_RATIO_30_6M,2023-01-16
CARD_CREDIT_CROSS_SELL_LABEL1,2023-01-16
CARD_CREDIT_CROSS_SELL_LABEL2,2023-01-16
CARD_CREDIT_CROSS_SELL_LABEL3,2023-01-16
CARD_CREDIT_CROSS_SELL_LABEL4,2023-01-16
CARD_CREDIT_CROSS_SELL_LABEL5,2023-01-16
CARD_CREDIT_CROSS_SELL_LABEL6,2023-01-16
CARD_CREDIT_CT_CARD_ACTIVE,2023-01-16
CARD_CREDIT_CT_CONSUMP_LOAN,2023-01-16
CARD_CREDIT_CT_INACTIVE_ALL,2023-01-16
CARD_CREDIT_CT_TXN_12M,2023-01-16
CARD_CREDIT_CT_TXN_3M,2023-01-16
CARD_CREDIT_CT_TXN_6M,2023-01-16
CARD_CREDIT_CT_TXN_DOM_12M,2023-01-16
CARD_CREDIT_CT_TXN_DOM_3M,2023-01-16
CARD_CREDIT_CT_TXN_DOM_6M,2023-01-16
CARD_CREDIT_CT_TXN_INTER_12M,2023-01-16
CARD_CREDIT_CT_TXN_INTER_3M,2023-01-16
CARD_CREDIT_CT_TXN_INTER_6M,2023-01-16
CARD_CREDIT_CT_TXN_OFFLINE_12M,2023-01-16
CARD_CREDIT_CT_TXN_OFFLINE_3M,2023-01-16
CARD_CREDIT_CT_TXN_OFFLINE_6M,2023-01-16
CARD_CREDIT_CT_TXN_ONLINE_12M,2023-01-16
CARD_CREDIT_CT_TXN_ONLINE_3M,2023-01-16
CARD_CREDIT_CT_TXN_ONLINE_6M,2023-01-16
CARD_CREDIT_DAY_SINCE_LTST_TXN,2023-01-16
CARD_CREDIT_DEBT_GRP_6M,2023-01-16
CARD_CREDIT_HOLD,2023-01-16
CARD_CREDIT_INACTIVE,2023-01-16
CARD_CREDIT_LIMIT_TXN_M3,2023-01-16
CARD_CREDIT_LIMIT_TXN_M6,2023-01-16
CARD_CREDIT_MAX_BRAND_LIMIT,2023-01-16
CARD_CREDIT_MAX_CLASS,2023-01-16
CARD_CREDIT_MAX_LIMIT,2023-07-31
CARD_CREDIT_NON_DEBT_GRP_6M,2023-07-31
CARD_CREDIT_OVER_LIMIT_20_70_6M,2023-01-16
CARD_CREDIT_SUM_BAL_NOW,2023-01-16
CARD_CREDIT_SUM_REV_CASH_12M,2023-01-16
CARD_CREDIT_SUM_REV_CASH_3M,2023-01-16
CARD_CREDIT_SUM_REV_CASH_6M,2023-01-16
